ThemeID,Category,Theme,Difficulty,ShortDescription
323,Suit combination themes,KQ opposite Jxx,Advanced,Manage blocked honors and missing ace
324,Suit combination themes,AQJ opposite xxx,Intermediate,Play suit for maximum expected tricks
325,Suit combination themes,KQJ opposite xxx,Advanced,Handle suit without ace and with length
326,Suit combination themes,AK10 opposite xxx,Intermediate,Use entries and intermediate cards correctly
327,Suit combination themes,Axxx opposite QJx,Advanced,Choose direction and timing of finesse from long holding
328,Suit combination themes,Axxx opposite KJx,Advanced,Complex honor-combination handling with two potential lines
329,Suit combination themes,Axxx opposite Q10x,Advanced,Use spot cards and restricted choices in suit play
330,Suit combination themes,Kxxx opposite QJx,Advanced,Manage missing ace and direction-sensitive play
331,Suit combination themes,Axx opposite Q10xx,Advanced,Handle five-card opposite three-card combination
332,Suit combination themes,Axx opposite J10xx,Advanced,Use combination play for intermediate honors
333,Suit combination themes,Kxx opposite J10xx,Advanced,Manage missing ace queen with length and spots
334,Suit combination themes,Handling a 9-card fit missing the queen,Intermediate,Choose best trump line with one key honor absent
335,Suit combination themes,Handling an 8-card fit missing the queen,Advanced,Adjust trump line for weaker fit size
336,Suit combination themes,Handling a 9-card fit missing the king,Intermediate,Handle trump fit when king is absent
337,Suit combination themes,Handling a 9-card fit missing KJ,Advanced,Apply combination percentages with two missing honors
338,Suit combination themes,Handling a 9-card fit missing QJ,Advanced,Choose line with two lower missing honors
339,Suit combination themes,Handling a 10-card fit with one honor missing,Intermediate,Use extra trump length to simplify play
340,Suit combination themes,Restricted choice in suit combinations,Advanced,Apply restricted choice within pure suit problems
341,Bidding-play connection themes,Using the auction to place the queen,Intermediate,Infer queen location from bidding and actions
342,Bidding-play connection themes,Using the auction to locate length,Intermediate,Infer long suits from overcalls openings or preempts
343,Bidding-play connection themes,Inferring shortness from bidding,Intermediate,Use raises and suit bids to place short suits
344,Bidding-play connection themes,Planning from the opening lead plus auction,Intermediate,Combine all preplay information into one plan
345,Bidding-play connection themes,Lead-directed inferences,Intermediate,Use opening lead style to infer missing honors or count
346,Bidding-play connection themes,Choosing line based on overcaller's likely shape,Intermediate,Adjust line to known enemy distribution
347,Bidding-play connection themes,Playing partner-less bridge hands from bidding clues,Intermediate,Use full-table information to replace missing partner discussion
348,Bidding-play connection themes,Using preemptive auction info,Intermediate,Place length and honors from preemptive bid
349,Bidding-play connection themes,Using no-trump opening ranges,Intermediate,Infer high-card location from no-trump bids
350,Bidding-play connection themes,Using takeout double implications,Intermediate,Infer shortness and support from takeout action
351,Error-prevention themes,Don't block your own winners,Beginner,Play honors in order that keeps suit open
352,Error-prevention themes,Don't cash the wrong winner first,Beginner,Choose correct early cashing sequence
353,Error-prevention themes,Don't draw trumps too soon,Beginner,Take needed ruffs or side-suit actions first
354,Error-prevention themes,Don't postpone drawing trumps too long,Beginner,Remove enemy trumps before they cause damage
355,Error-prevention themes,Don't waste entries,Beginner,Save transportation cards for important later use
356,Error-prevention themes,Don't finesse when you have enough tricks,Beginner,Choose certainty over unnecessary risk
357,Error-prevention themes,Don't attack the wrong suit,Beginner,Select suit that actually produces contract
358,Error-prevention themes,Don't ignore a side loser,Beginner,Notice danger outside trump suit
359,Error-prevention themes,Don't lose trump control,Intermediate,Retain enough trumps to manage hand safely
360,Error-prevention themes,Don't help the defense set up their suit,Intermediate,Avoid handing tempo to defenders attack
361,Error-prevention themes,Don't let the dangerous hand in,Intermediate,Preserve avoidance discipline
362,Error-prevention themes,Don't forget to count trumps,Beginner,Track enemy trumps continuously
363,Error-prevention themes,Don't forget to count the hand,Beginner,Base play on counting not guesswork
364,Error-prevention themes,Don't throw away a stopper,Intermediate,Keep control card needed later in notrump
365,Error-prevention themes,Don't strand established winners,Intermediate,Preserve entry to cash the tricks you built
366,Error-prevention themes,Don't take a line that can never gain,Intermediate,Avoid pseudo-clever plays with no upside
367,Error-prevention themes,Don't assume favorable breaks,Intermediate,Plan for normal and bad distributions
368,Error-prevention themes,Don't use the last entry too early,Intermediate,Save final communication until necessary
369,Error-prevention themes,Don't miss a safety play,Intermediate,Recognize contract-protecting line
370,Error-prevention themes,Don't rush before making a plan,Beginner,Pause and choose line before playing from dummy
